,VIN,Brand,Model,Trim,Manufature_Year,Mileage,MPG_City,MPG_Highway,Engine_Capacity,Transmission,Drive_Type,Fuel_Type,Exterior_Color,Interior_Color,Accidents,Owners,Car_Usage_Type,Location,Price
27, 1FTMF1E89GFC85695,Ford,F-150,XL Regular Cab 6.5' Box 4WD,2016,"225,002",17,23,3.5, Automatic, 4WD,Gas,White,Gray,0,0, Personal use,"Grand Rapids, MI","11,590"
28, 2GNAXUEV3K6157311,Chevrolet,Equinox,LT with 1LT AWD,2019,"87,000",25,30,1.5, Automatic, AWD,Gas,Silver,Gray,0,2, Personal use,"Fort Worth, TX","16,383"
29, 1FADP3FE4FL379745,Ford,Focus,SE Sedan,2015,"64,000",26,36,1.0, Manual, FWD,Gas,White,Black,1,3, Fleet use,"Plano, TX","7,990"
30, 2C4RDGBG4KR713636,Dodge,Grand,SE,2019,"174,098",17,25,3.6, Automatic, FWD,Gas,Silver,Black,0,1, Personal use,"Fuquay Varina, NC","11,999"
31, 2C4RDGCG8KR671728,Dodge,Grand,SXT,2019,"55,218",17,25,3.6, Automatic, FWD,Gas,Black,Black,1,2, Personal use,"Boise, ID","20,600"
32, JTDKN3DU0A0180414,Toyota,Prius,Two,2010,"111,131",48,51,1.8, Automatic, FWD,Hybrid,Silver,Gray,0,2, Personal use,"Newport Beach, CA","9,937"
33, 1FTEX1EB3KKD49422,Ford,F-150,XL SuperCab 6.5' Box 4WD,2019,"156,566",18,23,3.3, Automatic, 4WD,Gas,White,Black,1,1, Fleet use,"Raleigh, NC","20,890"
34, 1GNEVGKW3KJ219606,Chevrolet,Traverse,LT Cloth with 1LT AWD,2019,"129,787",17,25,3.6, Automatic, AWD,Gas,Black,Black,1,1, Personal use,"Lima, OH","21,975"
35, 1G1ZD5ST3LF039711,Chevrolet,Malibu,LT,2020,"40,078",29,36,1.5, Automatic, FWD,Gas,Black,Black,1,2, Personal use,"Ft. Worth, TX","22,605"
36, 5YFEPMAE4MP205769,Toyota,Corolla,LE CVT,2021,"9,108",30,38,1.8, Automatic, FWD,Gas,White,Beige,0,1, Personal use,"Daytona Beach, FL","22,826"
37, 2C4RDGCG7KR765793,Dodge,Grand,SXT,2019,"62,270",17,25,3.6, Automatic, FWD,Gas,White,Black,0,1, Personal use,"St. Petersburg, FL","19,995"
38, 3GNAXHEV6JL354359,Chevrolet,Equinox,LS with 1LS FWD,2018,"172,840",26,32,1.5, Automatic, FWD,Gas,Blue,Gray,0,1, Personal use,"Jacksonville, FL","12,400"
