,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
1871, 2GNAXHEVXK6268610,Chevrolet,['Equinox'],LS with 1LS FWD,2019,"49,386",26,32, Automatic, FWD,Gas,Silver,Gray,0,1, Fleet use,"Bloomington, IN","21,998"
1872, 1V2MR2CA1KC580558,Volkswagen,['Atlas'],V6 SEL 3.6L 4MOTION,2019,"61,848",17,23, Automatic, AWD,Gas,Black,Black,0,1, Personal use,"Columbia, SC","35,998"
1873, 5NPD84LF7HH115775,Hyundai,['Elantra'],SE 2.0L Sedan Automatic (alt),2017,"66,200",29,38, Automatic, FWD,Gas,Black,Beige,1,2, Fleet use,"Tulare, CA","16,495"
1874, WBA3N9C58FK248260,BMW,"['4', 'Series']",428i xDrive Coupe (SULEV),2015,"73,204",22,33, Automatic, AWD,Gas,Black,Black,0,4, Personal use,"Alvin, TX","22,998"
1875, 1N4BL4CV1LC225423,Nissan,['Altima'],2.5 SR FWD,2020,"56,441",27,37, Automatic, FWD,Gas,White,Black,0,3, Personal use,"Smyrna, GA","24,998"
1876, 1FTEW1EP8KFC58346,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,2019,"44,261",18,23, Automatic, 4WD,Gas,Blue,Gray,0,1, Personal use,"Elyria, OH","37,590"
1877, 1GYKNCRS2KZ107558,Cadillac,['XT5'],Luxury FWD,2019,"63,641",19,26, Automatic, FWD,Gas,White,Beige,0,2, Personal use,"Live Oak, TX","30,998"
1878, 1FTFW1EFXGKD06536,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,2016,"78,432",17,23, Automatic, 4WD,Gas,White,Gray,0,0, Personal use,"Post Falls, ID","29,977"
1879, 1N4AL3AP5FC255393,Nissan,['Altima'],2.5 S,2015,"69,231",27,38, Automatic, FWD,Gas,Black,Black,0,2, Personal use,"Odessa, TX","15,990"
1880, 1GNSKCKC5FR148569,Chevrolet,['Tahoe'],LTZ 4WD,2015,"80,840",16,22, Automatic, 4WD,Gas,White,Black,0,2, Fleet use,"Durham, NC","35,000"
1881, WA1VAAF71KD027453,Audi,['Q7'],Prestige 3.0,2019,"23,016",19,25, Automatic, AWD,Supercharged,Black,Black,0,1, Personal use,"Webster, TX","54,000"
1882, WDDGF8AB6ER301747,Mercedes-Benz,['C-Class'],C 300 4MATIC Sport Sedan,2014,"72,313",20,27, Automatic, AWD,Gas,Red,Black,0,4, Personal use,"Everett, WA","18,700"
